Table Name,State Code,District Code,Area Name,Area,Present Age,Total Women,Total Ever Married Women,Total Ever Married Women - Parity - 0,Total Ever Married Women - Parity - 1,Total Ever Married Women - Parity - 2,Total Ever Married Women - Parity - 3,Total Ever Married Women - Parity - 4,Total Ever Married Women - Parity - 5,Total Ever Married Women - Parity - 6,Total Ever Married Women - Parity - 7+,Total Children Ever Born - Persons,Total Children Ever Born - Male,Total Children Ever Born - Female
F0101,1,0,State - JAMMU & KASHMIR,Total,Less than 15,1985536,14194,11188,740,2266,0,0,0,0,0,5272,2785,2487
F0101,1,0,State - JAMMU & KASHMIR,Total,15-19,597100,52222,37189,8595,2856,1329,2253,0,0,0,27306,14769,12537
F0101,1,0,State - JAMMU & KASHMIR,Total,20-24,557335,222631,88455,68662,41326,15014,5222,1699,962,1291,241339,128719,112620
F0101,1,0,State - JAMMU & KASHMIR,Total,25-29,501563,365375,72520,85753,100803,59826,28295,9751,5051,3376,686640,362729,323911
F0101,1,0,State - JAMMU & KASHMIR,Total,30-34,431157,390076,43428,54108,104927,84833,52936,26022,16111,7711,1018297,535902,482395
F0101,1,0,State - JAMMU & KASHMIR,Total,35-39,396680,384585,27685,31859,84409,88625,65812,39904,29885,16406,1237302,648205,589097
F0101,1,0,State - JAMMU & KASHMIR,Total,40-44,326346,320524,20347,18418,55876,70488,58371,40235,33255,23534,1162913,608744,554169
F0101,1,0,State - JAMMU & KASHMIR,Total,45-49,279230,276454,15679,14404,41421,57637,51535,36796,30677,28305,1071378,562776,508602
F0101,1,0,State - JAMMU & KASHMIR,Total,50-54,212967,210904,13215,10405,27679,39876,39587,30060,23309,26773,849788,450980,398808
F0101,1,0,State - JAMMU & KASHMIR,Total,55-59,167278,165901,10988,8764,19275,27685,30728,24656,19537,24268,689799,368028,321771
F0101,1,0,State - JAMMU & KASHMIR,Total,60-64,149299,146945,12953,8479,14505,20592,24841,21973,17782,25820,624325,331568,292757
F0101,1,0,State - JAMMU & KASHMIR,Total,65-69,101222,99172,9618,5923,8925,12189,15726,14650,12280,19861,431614,229195,202419
F0101,1,0,State - JAMMU & KASHMIR,Total,70-74,86547,84812,10781,5541,6638,9154,12250,11921,10285,18242,365407,193483,171924
F0101,1,0,State - JAMMU & KASHMIR,Total,75-79,41982,41249,5132,2790,3214,4168,5474,5782,5074,9615,181578,96520,85058
F0101,1,0,State - JAMMU & KASHMIR,Total,80+,61026,58022,8895,4521,5051,5630,7095,7137,6561,13132,242956,128645,114311
F0101,1,0,State - JAMMU & KASHMIR,Rural,All Ages,4333583,2028365,264813,218054,326789,343823,297825,213842,172855,190364,6738172,3541405,3196767
F0101,1,0,State - JAMMU & KASHMIR,Rural,Less than 15,1560185,10371,8182,522,1667,0,0,0,0,0,3856,2050,1806
F0101,1,0,State - JAMMU & KASHMIR,Rural,15-19,449010,41338,29009,7280,2250,994,1805,0,0,0,21982,11870,10112
F0101,1,0,State - JAMMU & KASHMIR,Rural,20-24,404069,178257,67081,56149,34671,12716,4331,1469,796,1044,201029,107128,93901
F0101,1,0,State - JAMMU & KASHMIR,Rural,25-29,353024,274695,46831,60476,77997,49686,24162,8452,4345,2746,552873,291252,261621
F0101,1,0,State - JAMMU & KASHMIR,Rural,30-34,303075,281716,26139,32693,70474,65783,43638,22451,14005,6533,793364,416751,376613
F0101,1,0,State - JAMMU & KASHMIR,Rural,35-39,274557,268552,16262,17439,48196,62102,51062,33194,25591,14706,938752,489941,448811
F0101,1,0,State - JAMMU & KASHMIR,Rural,40-44,226234,222939,12395,10110,28830,46392,43570,32528,27877,21237,879959,459510,420449
F0101,1,0,State - JAMMU & KASHMIR,Rural,45-49,190923,189301,9758,7757,19590,35526,37116,28988,25160,25406,801835,419887,381948
F0101,1,0,State - JAMMU & KASHMIR,Rural,50-54,146188,144948,8860,5305,12671,23698,28012,23348,19139,23915,638708,337027,301681
F0101,1,0,State - JAMMU & KASHMIR,Rural,55-59,112854,112029,7123,4456,8699,15600,20719,18546,15627,21259,510467,270057,240410
F0101,1,0,State - JAMMU & KASHMIR,Rural,60-64,104765,103156,8952,4785,7574,11983,16788,16436,14204,22434,472949,249450,223499
F0101,1,0,State - JAMMU & KASHMIR,Rural,65-69,69940,68505,6492,3310,4800,7031,10099,10523,9398,16852,321201,169244,151957
F0101,1,0,State - JAMMU & KASHMIR,Rural,70-74,61307,60100,7563,3197,4009,5672,7977,8536,7830,15316,275524,145300,130224
F0101,1,0,State - JAMMU & KASHMIR,Rural,75-79,28938,28438,3391,1530,1864,2556,3444,4023,3751,7879,134178,70919,63259
F0101,1,0,State - JAMMU & KASHMIR,Rural,80+,44530,42495,6371,2820,3286,3870,4944,5250,5036,10918,187564,98967,88597
F0101,1,0,State - JAMMU & KASHMIR,Urban,All Ages,1567057,806851,123855,111240,192726,153526,102500,56872,38027,28105,2102864,1124292,978572
F0101,1,0,State - JAMMU & KASHMIR,Urban,Less than 15,425351,3823,3006,218,599,0,0,0,0,0,1416,735,681
F0101,1,0,State - JAMMU & KASHMIR,Urban,15-19,148090,10884,8180,1315,606,335,448,0,0,0,5324,2899,2425
F0101,1,0,State - JAMMU & KASHMIR,Urban,20-24,153266,44374,21374,12513,6655,2298,891,230,166,247,40310,21591,18719
F0101,1,0,State - JAMMU & KASHMIR,Urban,25-29,148539,90680,25689,25277,22806,10140,4133,1299,706,630,133767,71477,62290
F0101,1,0,State - JAMMU & KASHMIR,Urban,30-34,128082,108360,17289,21415,34453,19050,9298,3571,2106,1178,224933,119151,105782
F0101,1,0,State - JAMMU & KASHMIR,Urban,35-39,122123,116033,11423,14420,36213,26523,14750,6710,4294,1700,298550,158264,140286
F0101,1,0,State - JAMMU & KASHMIR,Urban,40-44,100112,97585,7952,8308,27046,24096,14801,7707,5378,2297,282954,149234,133720
F0101,1,0,State - JAMMU & KASHMIR,Urban,45-49,88307,87153,5921,6647,21831,22111,14419,7808,5517,2899,269543,142889,126654
F0101,1,0,State - JAMMU & KASHMIR,Urban,50-54,66779,65956,4355,5100,15008,16178,11575,6712,4170,2858,211080,113953,97127
F0101,1,0,State - JAMMU & KASHMIR,Urban,55-59,54424,53872,3865,4308,10576,12085,10009,6110,3910,3009,179332,97971,81361
F0101,1,0,State - JAMMU & KASHMIR,Urban,60-64,44534,43789,4001,3694,6931,8609,8053,5537,3578,3386,151376,82118,69258
F0101,1,0,State - JAMMU & KASHMIR,Urban,65-69,31282,30667,3126,2613,4125,5158,5627,4127,2882,3009,110413,59951,50462
F0101,1,0,State - JAMMU & KASHMIR,Urban,70-74,25240,24712,3218,2344,2629,3482,4273,3385,2455,2926,89883,48183,41700
F0101,1,0,State - JAMMU & KASHMIR,Urban,75-79,13044,12811,1741,1260,1350,1612,2030,1759,1323,1736,47400,25601,21799
F0101,1,0,State - JAMMU & KASHMIR,Urban,80+,16496,15527,2524,1701,1765,1760,2151,1887,1525,2214,55392,29678,25714
F0102,2,0,State - HIMACHAL PRADESH,Total,All Ages,3382729,2059532,206745,287791,602773,422427,247513,133624,75033,83626,5535130,2861379,2673751
F0102,2,0,State - HIMACHAL PRADESH,Total,Less than 15,840677,6512,5307,306,899,0,0,0,0,0,2104,1133,971
F0102,2,0,State - HIMACHAL PRADESH,Total,15-19,303732,27979,20514,5175,1282,438,570,0,0,0,11333,5904,5429
F0102,2,0,State - HIMACHAL PRADESH,Total,20-24,320146,170718,61342,64799,34232,7209,1736,407,346,647,170852,86943,83909
F0102,2,0,State - HIMACHAL PRADESH,Total,25-29,299035,263598,38653,79072,101059,31404,9165,2300,815,1130,437554,222060,215494
F0102,2,0,State - HIMACHAL PRADESH,Total,30-34,275104,265722,17939,43737,124011,51132,18315,6276,2353,1959,579567,296925,282642
F0102,2,0,State - HIMACHAL PRADESH,Total,35-39,259736,255468,11623,27105,112018,62577,25359,9578,4170,3038,637044,331994,305050
F0102,2,0,State - HIMACHAL PRADESH,Total,40-44,223291,220547,8862,17227,81046,62594,28862,12156,5331,4469,610347,318102,292245
F0102,2,0,State - HIMACHAL PRADESH,Total,45-49,197486,195534,7432,12983,55578,59926,32679,14466,6659,5811,592891,307909,284982
F0102,2,0,State - HIMACHAL PRADESH,Total,50-54,164963,163456,6444,8941,33870,49352,33155,16490,8015,7189,544602,283177,261425
F0102,2,0,State - HIMACHAL PRADESH,Total,55-59,131615,130514,5603,6853,20692,35483,29266,16403,8385,7829,466120,241734,224386
F0102,2,0,State - HIMACHAL PRADESH,Total,60-64,115908,114466,5966,6218,14085,25846,25362,17058,9853,10078,437710,226872,210838
F0102,2,0,State - HIMACHAL PRADESH,Total,65-69,80220,78842,4584,4144,8105,14263,16286,13122,8613,9725,322736,167134,155602
F0102,2,0,State - HIMACHAL PRADESH,Total,70-74,68468,67660,4423,3919,6424,10031,12385,11036,8396,11046,290064,149610,140454
F0102,2,0,State - HIMACHAL PRADESH,Total,75-79,39266,38927,2734,2466,3411,5037,6308,6099,5015,7857,173241,89290,83951
F0102,2,0,State - HIMACHAL PRADESH,Total,80+,58272,57235,4868,4400,5427,6794,7856,8102,7026,12762,253721,129879,123842
F0102,2,0,State - HIMACHAL PRADESH,Rural,All Ages,3065705,1871243,184323,252143,534581,388752,232504,126852,71678,80410,5122686,2645387,2477299
F0102,2,0,State - HIMACHAL PRADESH,Rural,Less than 15,769071,5799,4700,273,826,0,0,0,0,0,1925,1037,888
F0102,2,0,State - HIMACHAL PRADESH,Rural,15-19,275437,25672,18709,4845,1180,404,534,0,0,0,10553,5515,5038
F0102,2,0,State - HIMACHAL PRADESH,Rural,20-24,288272,158384,55799,60404,32425,6809,1616,389,332,610,160706,81774,78932
F0102,2,0,State - HIMACHAL PRADESH,Rural,25-29,268589,240236,33513,70528,93948,29630,8648,2181,766,1022,405637,205438,200199
F0102,2,0,State - HIMACHAL PRADESH,Rural,30-34,246103,238702,15284,36345,111918,47756,17356,5974,2245,1824,530771,271358,259413
F0102,2,0,State - HIMACHAL PRADESH,Rural,35-39,231369,227980,9945,22109,98234,57847,23843,9134,3991,2877,579627,301494,278133
F0102,2,0,State - HIMACHAL PRADESH,Rural,40-44,199498,197264,7639,14092,69661,57577,27303,11587,5111,4294,557626,290030,267596
F0102,2,0,State - HIMACHAL PRADESH,Rural,45-49,177304,175725,6452,10703,47007,54851,30849,13854,6384,5625,544761,282523,262238
F0102,2,0,State - HIMACHAL PRADESH,Rural,50-54,149619,148406,5744,7439,28447,45033,31267,15763,7732,6981,504767,262423,242344
F0102,2,0,State - HIMACHAL PRADESH,Rural,55-59,120095,119254,5038,5887,17322,32288,27463,15611,8054,7591,433845,224985,208860
F0102,2,0,State - HIMACHAL PRADESH,Rural,60-64,106932,105749,5549,5506,12069,23428,23731,16212,9462,9792,410366,212752,197614
F0102,2,0,State - HIMACHAL PRADESH,Rural,65-69,74146,72972,4264,3719,7092,12846,15073,12357,8219,9402,302512,156673,145839
F0102,2,0,State - HIMACHAL PRADESH,Rural,70-74,63682,62994,4151,3551,5731,9104,11490,10399,7997,10571,272640,140572,132068
F0102,2,0,State - HIMACHAL PRADESH,Rural,75-79,36397,36117,2542,2256,3100,4558,5804,5652,4694,7511,162061,83557,78504
F0102,2,0,State - HIMACHAL PRADESH,Rural,80+,54704,53802,4570,4073,5042,6307,7337,7610,6637,12226,239981,122719,117262
F0102,2,0,State - HIMACHAL PRADESH,Urban,All Ages,317024,188289,22422,35648,68192,33675,15009,6772,3355,3216,412444,215992,196452
F0102,2,0,State - HIMACHAL PRADESH,Urban,Less than 15,71606,713,607,33,73,0,0,0,0,0,179,96,83
F0102,2,0,State - HIMACHAL PRADESH,Urban,15-19,28295,2307,1805,330,102,34,36,0,0,0,780,389,391
F0102,2,0,State - HIMACHAL PRADESH,Urban,20-24,31874,12334,5543,4395,1807,400,120,18,14,37,10146,5169,4977
F0102,2,0,State - HIMACHAL PRADESH,Urban,25-29,30446,23362,5140,8544,7111,1774,517,119,49,108,31917,16622,15295
F0102,2,0,State - HIMACHAL PRADESH,Urban,30-34,29001,27020,2655,7392,12093,3376,959,302,108,135,48796,25567,23229
F0102,2,0,State - HIMACHAL PRADESH,Urban,35-39,28367,27488,1678,4996,13784,4730,1516,444,179,161,57417,30500,26917
F0102,2,0,State - HIMACHAL PRADESH,Urban,40-44,23793,23283,1223,3135,11385,5017,1559,569,220,175,52721,28072,24649
F0102,2,0,State - HIMACHAL PRADESH,Urban,45-49,20182,19809,980,2280,8571,5075,1830,612,275,186,48130,25386,22744
F0102,2,0,State - HIMACHAL PRADESH,Urban,50-54,15344,15050,700,1502,5423,4319,1888,727,283,208,39835,20754,19081
F0102,2,0,State - HIMACHAL PRADESH,Urban,55-59,11520,11260,565,966,3370,3195,1803,792,331,238,32275,16749,15526
F0102,2,0,State - HIMACHAL PRADESH,Urban,60-64,8976,8717,417,712,2016,2418,1631,846,391,286,27344,14120,13224
F0102,2,0,State - HIMACHAL PRADESH,Urban,65-69,6074,5870,320,425,1013,1417,1213,765,394,323,20224,10461,9763
F0102,2,0,State - HIMACHAL PRADESH,Urban,70-74,4786,4666,272,368,693,927,895,637,399,475,17424,9038,8386
F0102,2,0,State - HIMACHAL PRADESH,Urban,75-79,2869,2810,192,210,311,479,504,447,321,346,11180,5733,5447
F0102,2,0,State - HIMACHAL PRADESH,Urban,80+,3568,3433,298,327,385,487,519,492,389,536,13740,7160,6580
F0103,3,0,State - PUNJAB,Total,All Ages,13103873,7935277,969863,1204328,2202686,1637789,942087,477766,250731,250027,20152623,10974586,9178037
F0103,3,0,State - PUNJAB,Total,Less than 15,3187782,34786,27219,2000,5567,0,0,0,0,0,13134,7113,6021
F0103,3,0,State - PUNJAB,Total,15-19,1247503,130206,98015,19367,6628,2932,3264,0,0,0,54475,29090,25385
F0103,3,0,State - PUNJAB,Total,20-24,1311105,676511,269169,248938,119167,27208,6845,1873,817,2494,629391,331083,298308
F0103,3,0,State - PUNJAB,Total,25-29,1193456,1026744,185497,315914,348138,125600,34945,8644,2590,5416,1631929,870610,761319
F0103,3,0,State - PUNJAB,Total,30-34,1034006,999012,91482,178309,413960,204576,73026,22407,7418,7834,2132785,1156203,976582
F0103,3,0,State - PUNJAB,Total,35-39,978209,965569,62033,115202,374281,247844,104658,37508,13964,10079,2377040,1305713,1071327
F0103,3,0,State - PUNJAB,Total,40-44,879261,871656,46953,79435,291878,250455,122715,47892,18841,13487,2364163,1296961,1067202
F0103,3,0,State - PUNJAB,Total,45-49,769636,764687,38674,64213,219480,225772,125027,53156,22170,16195,2206209,1206170,1000039
F0103,3,0,State - PUNJAB,Total,50-54,590800,586647,30403,44465,146185,169451,107515,49896,22258,16474,1786681,979298,807383
F0103,3,0,State - PUNJAB,Total,55-59,470710,467496,24639,34686,96398,124714,94555,50037,23868,18599,1517980,831013,686967
F0103,3,0,State - PUNJAB,Total,60-64,514107,508858,28385,35919,79001,115673,107888,69817,38786,33389,1813165,985232,827933
F0103,3,0,State - PUNJAB,Total,65-69,346782,341336,21689,23510,42966,65125,69392,52216,33234,33204,1301659,707623,594036
F0103,3,0,State - PUNJAB,Total,70-74,241352,238496,17397,17142,25579,37771,43644,37614,27158,32191,959849,522361,437488
F0103,3,0,State - PUNJAB,Total,75-79,126463,125199,9377,8879,12225,17156,21081,19681,15755,21045,528635,288832,239803
F0103,3,0,State - PUNJAB,Total,80+,193451,187525,16761,14559,18562,21703,26527,26494,23599,39320,812280,444636,367644
F0103,3,0,State - PUNJAB,Rural,All Ages,8250716,4992055,564835,718083,1305107,1045929,643587,342561,184973,186980,13333354,7239718,6093636
F0103,3,0,State - PUNJAB,Rural,Less than 15,2037964,21659,16955,1184,3520,0,0,0,0,0,8224,4459,3765
F0103,3,0,State - PUNJAB,Rural,15-19,810596,83832,62977,12669,4055,1908,2223,0,0,0,35395,18834,16561
F0103,3,0,State - PUNJAB,Rural,20-24,818094,440599,168760,166316,80046,17673,4347,1213,559,1685,418980,220734,198246
F0103,3,0,State - PUNJAB,Rural,25-29,717260,631557,100216,188300,225838,83733,22752,5625,1684,3409,1048300,559777,488523
F0103,3,0,State - PUNJAB,Rural,30-34,627238,610111,48286,103090,249567,135165,48944,15051,4940,5068,1349824,732708,617116
F0103,3,0,State - PUNJAB,Rural,35-39,598593,592413,33255,67389,218028,160312,71406,25755,9493,6775,1509156,826563,682593
